g,N,E0,E1,gap,xi_gap,xi_corr,m_corr,xi_transfer,m_transfer,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,107,0.02840851745655,0.02840851745655,-3.5610662683372,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,108,0.028041559017032,0.028041559017032,-3.5740676186099,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,109,0.027678873740817,0.027678873740817,-3.5870858376148,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,110,0.027320755331528,0.027320755331528,-3.6001085970948,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,111,0.026967218987873,0.026967218987873,-3.6131332621686,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,112,0.026616665245393,0.026616665245393,-3.6262177463871,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,113,0.026272102049784,0.026272102049784,-3.6392476613643,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,114,0.025932345482154,0.025932345482154,-3.6522642291392,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,115,0.02559753318453,0.02559753318453,-3.6652592921188,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,116,0.02526596907014,0.02526596907014,-3.6782968847443,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,117,0.024938470446668,0.024938470446668,-3.6913436699346,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,118,0.024615585022594,0.024615585022594,-3.7043754991402,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,119,0.024297729360576,0.024297729360576,-3.7173723749532,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,120,0.023983588600031,0.023983588600031,-3.7303854908698,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,121,0.023672673141489,0.023672673141489,-3.7434339280985,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,122,0.0233662614648,0.0233662614648,-3.7564621147814,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,123,0.023065611187056,0.023065611187056,-3.7694124638601,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,124,0.02276764890351,0.02276764890351,-3.7824146583654,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,125,0.022474512621837,0.022474512621837,-3.7953733842061,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,126,0.022185261785199,0.022185261785199,-3.8083270941217,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,127,0.021901777315493,0.021901777315493,-3.8211874894941,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,128,0.021622162826232,0.021622162826232,-3.8340364335585,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,129,0.021349353055077,0.021349353055077,-3.8467338416365,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,130,0.021079321237515,0.021079321237515,-3.8594627551863,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,131,0.020813388902542,0.020813388902542,-3.8721588021215,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,132,0.020549427887217,0.020549427887217,-3.8849221784656,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,133,0.020289487512979,0.020289487512979,-3.8976523835719,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,134,0.020032628615133,0.020032628615133,-3.910392904009,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,135,0.019780619658534,0.019780619658534,-3.9230526257488,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,136,0.019530018338177,0.019530018338177,-3.9358025951192,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,137,0.019286011488254,0.019286011488254,-3.9483752392157,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,138,0.019043211460828,0.019043211460828,-3.9610445946808,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,139,0.01880533794953,0.01880533794953,-3.9736145159621,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,140,0.018569257142616,0.018569257142616,-3.9862479075078,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,141,0.01833815621382,0.01833815621382,-3.9987713508053,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,142,0.018112017816526,0.018112017816526,-4.0111795932756,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,143,0.017889385538191,0.017889385538191,-4.0235477287148,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,144,0.017669661798687,0.017669661798687,-4.0359061326929,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,145,0.0174540569356,0.0174540569356,-4.048183168209,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,146,0.017242520266471,0.017242520266471,-4.0603768372806,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,147,0.017034110702072,0.017034110702072,-4.0725374333956,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,148,0.016829517231288,0.016829517231288,-4.0846209562005,1,160
